month,revenue,cost,margin,margin_rate
2019-12,5400.0,2170.0,3230.0,0.5981481481481481
2020-07,39000.0,8200.0,30800.0,0.7897435897435897
2020-08,95299.0,38737.0,56562.0,0.5935214430371777
2020-09,44400.0,22172.0,22228.0,0.5006306306306306
2020-10,81900.0,36157.0,45743.0,0.5585225885225885
2020-11,109160.0,54695.0,54465.0,0.4989465005496519
2020-12,184448.0,89761.0,94687.0,0.5133533570437196
2021-01,251225.0,128422.0,122803.0,0.4888167976913126
2021-02,121574.0,57233.4,64340.6,0.5292299340319476
2021-03,154049.0,71542.8,82506.2,0.535584132321534
2021-04,97320.0,48251.0,49069.0,0.5042026304973284
2021-05,92250.0,38715.0,53535.0,0.5803252032520325
2021-06,92690.0,43110.6,49579.4,0.5348948106591865
2021-07,106600.0,42895.5,63704.5,0.5976031894934334
2021-08,115690.0,56230.2,59459.8,0.5139579911833349
2021-09,131892.0,59223.9,72668.1,0.5509667000272951
2021-10,159709.0,72593.6,87115.4,0.5454633113976044
2021-11,88719.0,31444.05,57274.95,0.6455770466303723
2021-12,134930.0,55543.6,79386.4,0.588352479063218
2022-01,230800.0,107761.2,123038.8,0.5330970537261699
2022-02,92630.0,40578.8,52051.2,0.5619259419194645
2022-03,162790.0,67267.6,95522.4,0.5867829719270226
2022-04,147175.0,77437.6,69737.4,0.4738399864107355
2022-05,140259.0,56741.2,83517.8,0.5954541241560256
2022-06,117920.0,60411.0,57509.0,0.4876950474898236
2022-07,123730.0,55950.5,67779.5,0.5478016649155419
2022-08,150040.0,75470.4,74569.6,0.49699813383097846
2022-09,100950.0,52292.0,48658.0,0.4820009905894007
2022-10,81950.0,35161.2,46788.8,0.5709432580841978
2022-11,188190.0,89736.8,98453.2,0.5231585100164727
2022-12,207450.0,92297.4,115152.6,0.5550860448300796
2023-01,159415.0,89312.8,70102.2,0.43974657340902673
2023-02,135200.0,61387.0,73813.0,0.5459541420118343
2023-03,179110.0,82349.8,96760.2,0.5402277929763832
2023-04,156910.0,81163.5,75746.5,0.4827385125231024
2023-05,232240.0,110331.0,121909.0,0.5249267998622115
2023-06,174050.0,91412.8,82637.2,0.4747900028727377
2023-07,120099.0,48629.6,71469.4,0.5950873862396855
2023-08,170759.0,78884.0,91875.0,0.5380389906242131
2023-09,173150.0,88452.2,84697.8,0.4891585330638175
2023-10,134374.0,67359.5,67014.5,0.4987162695164243
2023-11,126970.0,62916.2,64053.8,0.5044797983775695
2023-12,137500.0,58723.0,78777.0,0.5729236363636364
2024-01,152050.0,70429.0,81621.0,0.5368036829990135
2024-02,128824.0,66738.2,62085.8,0.48194280568838105
2024-03,148217.0,63275.0,84942.0,0.5730921554207682
2024-04,167800.0,75030.0,92770.0,0.5528605482717521
2024-05,127026.0,58413.0,68613.0,0.5401492607812574
2024-06,133740.0,58181.5,75558.5,0.5649656049050397
2024-07,169270.0,76383.2,92886.8,0.5487493353813434
2024-08,172750.0,71903.3,100846.7,0.583772503617945
2024-09,114390.0,40934.9,73455.1,0.6421461666229566
2024-10,99500.0,38046.3,61453.7,0.6176251256281406
2024-11,86600.0,42383.4,44216.6,0.5105842956120092
2024-12,121500.0,45673.8,75826.2,0.624083950617284
2025-01,161185.0,79417.0,81768.0,0.5072928622390421
2025-02,84160.0,29924.5,54235.5,0.6444332224334601
2025-03,77949.0,28464.0,49485.0,0.6348381634145402
2025-04,99250.0,40867.0,58383.0,0.5882418136020151
2025-05,80300.0,33236.0,47064.0,0.5861021170610212
2025-06,121050.0,53733.0,67317.0,0.5561090458488228
2025-07,128175.0,59136.8,69038.2,0.53862453676614
2025-08,125069.0,46551.9,78517.1,0.6277902597766034
2025-09,47699.0,16438.0,31261.0,0.655380615945827
2025-10,66850.0,26090.8,40759.2,0.6097112939416603
2025-11,104999.0,49790.8,55208.2,0.5257973885465576
2025-12,153221.5,66964.0,86257.5,0.5629595063355991
2026-01,70674.0,27027.2,43646.8,0.6175793078076803
2026-02,135207.0,53890.0,81317.0,0.601425961673582
2026-03,115538.0,50680.5,64857.5,0.5613521092627534
2026-04,57420.0,22510.0,34910.0,0.6079763148728666
